sidoname,cityname,pm25value,pm10value,datetime,day,week
제주,제주,42.0,83.0,2022-03-04T01:00:00.000Z,2022-03-04T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,18.0,36.0,2022-03-11T22:00:00.000Z,2022-03-11T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,14.0,25.0,2022-03-21T08:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,12.0,41.0,2022-03-08T14:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,11.0,27.0,2022-03-07T19:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,13.0,39.0,2022-03-13T06:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,22.0,75.0,2022-03-27T14:00:00.000Z,2022-03-27T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,10.0,16.0,2022-03-20T05:00:00.000Z,2022-03-20T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,25.0,39.0,2022-03-22T21:00:00.000Z,2022-03-22T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,19.0,41.0,2022-03-25T13:00:00.000Z,2022-03-25T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,15.0,36.0,2022-03-12T21:00:00.000Z,2022-03-12T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,6.0,11.0,2022-03-18T13:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,30.0,78.0,2022-03-03T11:00:00.000Z,2022-03-03T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,10.0,21.0,2022-03-13T13:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,28.0,60.0,2022-03-03T08:00:00.000Z,2022-03-03T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,15.0,22.0,2022-03-21T22:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,31.0,71.0,2022-03-03T12:00:00.000Z,2022-03-03T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,10.0,27.0,2022-03-07T20:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,48.0,82.0,2022-03-03T22:00:00.000Z,2022-03-03T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,17.0,43.0,2022-03-11T15:00:00.000Z,2022-03-11T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,51.0,106.0,2022-03-04T09:00:00.000Z,2022-03-04T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,7.0,13.0,2022-03-22T04:00:00.000Z,2022-03-22T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,28.0,42.0,2022-03-22T23:00:00.000Z,2022-03-22T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,10.0,26.0,2022-03-26T14:00:00.000Z,2022-03-26T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,18.0,49.0,2022-03-08T15:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,12.0,19.0,2022-03-21T23:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,19.0,39.0,2022-03-27T02:00:00.000Z,2022-03-27T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,14.0,36.0,2022-03-25T18:00:00.000Z,2022-03-25T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,43.0,89.0,2022-03-04T02:00:00.000Z,2022-03-04T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,9.0,20.0,2022-03-08T02:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,22.0,57.0,2022-03-16T21:00:00.000Z,2022-03-16T00:00:00.000Z,2022-03-14T00:00:00.000Z
